homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
LSU,LSU Tigers,11.0 - 7.0,0.6111111111111112,0.7666666666666667,76.97464678542622,68.94956789551082,8.025078889915392,0.1026022842301414,0.024142548567672926,99.0,86.5,80.0,93.0,2.4927766252916346,87.0
MINN,Minnesota Golden Gophers,12.0 - 6.0,0.6666666666666666,0.7944444444444444,77.14595807357887,68.22294407808447,8.9230139954944,0.0655544479866537,-0.011627006398471208,159.0,78.0,70.0,124.0,2.452605029732425,88.0
BC,Boston College Eagles,11.0 - 6.0,0.6470588235294118,0.7555555555555555,78.38991634737086,70.50667798073576,7.883238366635098,0.104172063282843,0.06023530888869478,49.0,89.5,82.0,91.0,2.4491717076448087,89.0
WCU,Western Carolina Catamounts,15.0 - 4.0,0.7894736842105263,0.7444444444444445,72.78281196725804,68.22027633103691,4.562535636221128,0.1647378902643084,-0.0010245794240501302,138.0,92.0,108.0,64.0,2.4378742003490634,90.0
IU,Indiana Hoosiers,12.0 - 7.0,0.631578947368421,0.725,76.08373000662985,69.22419319314962,6.859536813480233,0.1307690525476643,0.10603649631410504,12.0,98.0,93.0,79.0,2.4012972394822762,91.0
SBU,St. Bonaventure Bonnies,11.0 - 6.0,0.6470588235294118,0.7361111111111112,73.76332041632494,65.58445666493925,8.178863751385691,0.100898543895564,-0.015910299283247355,169.0,96.0,78.0,94.0,2.3927297400189715,92.0
WASH,Washington Huskies,11.0 - 8.0,0.5789473684210527,0.7416666666666667,78.4858612749112,70.25188160253924,8.233979672371959,0.0858404434374666,0.07693540857817452,33.0,93.5,77.0,107.0,2.3238647849978076,93.0
WEB,Weber State Wildcats,12.0 - 7.0,0.631578947368421,0.8194444444444444,72.40228860353885,66.08664177492489,6.315646828613964,0.0729272162634742,-0.00687241587721774,148.0,64.5,99.0,117.0,2.3097934545433145,94.0
MD,Maryland Terrapins,11.0 - 8.0,0.5789473684210527,0.7611111111111111,70.92602604473655,63.66343446131463,7.262591583421916,0.0887268163954303,0.029981408695435478,90.0,88.0,88.0,105.0,2.3065601558600415,95.0
GMU,George Mason Patriots,14.0 - 5.0,0.7368421052631579,0.7222222222222222,73.55554883945551,66.56070459303722,6.994844246418296,0.114349051373239,0.011996571029457045,113.0,99.0,90.0,85.0,2.303589733822981,96.0
